threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
0.8400000000000001,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.85,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.86,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.87,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.88,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.89,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.9,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.91,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.92,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.93,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.9400000000000001,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.9500000000000001,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.9600000000000001,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.97,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.98,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.99,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
