station_id,datetime_utc,latitude,longitude,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
MND_URBAN_01,2022-07-28 03:00:00+00:00,31.7087,76.932,0.1,1.4,1.5,4.9,15.3,100.0,100.0,23.8,94,923.0,2.2,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-28 03:00:00+00:00,31.745,77.21,0.8,5.9,9.2,17.8,26.6,100.0,100.0,22.6,95,898.6,2.2,1050.0,34.5,80.0,4200.0,0
JGN_VLY_05,2022-07-28 03:00:00+00:00,31.983,76.776,0.2,0.3,0.3,1.5,2.4,100.0,100.0,22.5,89,894.5,2.2,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-28 04:00:00+00:00,31.533,76.89,0.1,0.2,0.3,4.6,12.5,100.0,100.0,21.9,94,912.2,5.6,860.0,16.8,340.0,3100.0,0
AUT_JNC_03,2022-07-28 04:00:00+00:00,31.745,77.21,0.1,2.9,9.1,17.9,26.7,100.0,100.0,22.9,90,898.3,2.5,1050.0,34.5,80.0,4200.0,0
THL_GRG_04,2022-07-28 04:00:00+00:00,31.713,77.165,0.1,2.9,9.1,17.9,26.7,100.0,100.0,19.9,90,851.0,2.5,980.0,38.2,35.0,5600.0,0
JGN_VLY_05,2022-07-28 04:00:00+00:00,31.983,76.776,0.2,0.4,0.5,1.7,2.4,100.0,100.0,21.8,94,894.2,2.2,1220.0,24.6,210.0,1850.0,0
MND_URBAN_01,2022-07-28 04:00:00+00:00,31.7087,76.932,0.1,1.3,1.6,4.4,14.8,100.0,100.0,24.1,87,923.0,3.1,760.0,22.4,65.0,11200.0,0
MND_URBAN_01,2022-07-28 05:00:00+00:00,31.7087,76.932,0.0,0.2,1.6,4.3,14.0,100.0,100.0,24.2,93,923.7,3.1,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-28 05:00:00+00:00,31.745,77.21,0.0,0.9,8.8,17.9,26.7,100.0,100.0,22.8,96,899.0,1.9,1050.0,34.5,80.0,4200.0,0
THL_GRG_04,2022-07-28 05:00:00+00:00,31.713,77.165,0.0,0.9,8.8,17.9,26.7,100.0,100.0,19.8,96,851.6,1.9,980.0,38.2,35.0,5600.0,0
JGN_VLY_05,2022-07-28 05:00:00+00:00,31.983,76.776,0.1,0.5,0.6,1.8,2.3,100.0,100.0,21.9,94,894.8,3.1,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-28 05:00:00+00:00,31.533,76.89,0.0,0.2,0.3,4.4,11.5,100.0,100.0,22.9,95,913.4,1.8,860.0,16.8,340.0,3100.0,0
JGN_VLY_05,2022-07-28 06:00:00+00:00,31.983,76.776,4.4,4.7,5.0,5.8,6.7,100.0,100.0,21.9,95,895.2,1.0,1220.0,24.6,210.0,1850.0,0
MND_URBAN_01,2022-07-28 06:00:00+00:00,31.7087,76.932,0.2,0.3,1.7,4.4,14.2,100.0,100.0,24.2,88,924.2,1.0,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-28 06:00:00+00:00,31.745,77.21,0.6,0.7,6.6,18.4,27.3,100.0,100.0,22.9,94,899.6,1.1,1050.0,34.5,80.0,4200.0,0
THL_GRG_04,2022-07-28 06:00:00+00:00,31.713,77.165,0.6,0.7,6.6,18.4,27.3,100.0,100.0,19.9,93,852.1,1.1,980.0,38.2,35.0,5600.0,0
SDR_BSN_07,2022-07-28 06:00:00+00:00,31.533,76.89,0.1,0.2,0.4,4.5,11.5,100.0,100.0,22.9,95,913.9,1.5,860.0,16.8,340.0,3100.0,0
MND_URBAN_01,2022-07-28 07:00:00+00:00,31.7087,76.932,0.1,0.3,1.6,4.4,14.3,100.0,100.0,24.4,87,924.9,0.0,760.0,22.4,65.0,11200.0,0
JGN_VLY_05,2022-07-28 07:00:00+00:00,31.983,76.776,6.6,11.1,11.5,12.2,13.3,100.0,100.0,22.1,91,895.9,0.8,1220.0,24.6,210.0,1850.0,0
THL_GRG_04,2022-07-28 07:00:00+00:00,31.713,77.165,0.3,0.9,3.8,18.4,27.6,100.0,100.0,20.0,91,852.9,0.4,980.0,38.2,35.0,5600.0,0
SDR_BSN_07,2022-07-28 07:00:00+00:00,31.533,76.89,0.1,0.2,0.4,4.6,11.6,100.0,100.0,23.6,92,914.6,2.3,860.0,16.8,340.0,3100.0,0
AUT_JNC_03,2022-07-28 07:00:00+00:00,31.745,77.21,0.3,0.9,3.8,18.4,27.6,100.0,100.0,23.0,91,900.3,0.4,1050.0,34.5,80.0,4200.0,0
AUT_JNC_03,2022-07-28 08:00:00+00:00,31.745,77.21,0.1,1.0,1.9,17.7,27.7,100.0,100.0,23.4,90,901.1,0.5,1050.0,34.5,80.0,4200.0,0
MND_URBAN_01,2022-07-28 08:00:00+00:00,31.7087,76.932,0.1,0.4,0.6,4.4,14.4,100.0,100.0,24.8,86,925.6,3.1,760.0,22.4,65.0,11200.0,0
JGN_VLY_05,2022-07-28 08:00:00+00:00,31.983,76.776,8.6,19.6,20.1,20.8,21.9,100.0,100.0,22.2,92,896.5,3.2,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-28 08:00:00+00:00,31.533,76.89,0.0,0.2,0.4,4.6,11.6,100.0,100.0,24.4,90,915.3,2.2,860.0,16.8,340.0,3100.0,0
THL_GRG_04,2022-07-28 08:00:00+00:00,31.713,77.165,0.1,1.0,1.9,17.7,27.7,100.0,100.0,20.4,90,853.6,0.5,980.0,38.2,35.0,5600.0,0
JGN_VLY_05,2022-07-28 09:00:00+00:00,31.983,76.776,8.6,23.8,28.5,29.4,30.5,100.0,100.0,22.3,92,897.1,1.5,1220.0,24.6,210.0,1850.0,0
MND_URBAN_01,2022-07-28 09:00:00+00:00,31.7087,76.932,0.0,0.2,0.5,4.2,14.4,100.0,100.0,25.3,85,926.0,3.0,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-28 09:00:00+00:00,31.745,77.21,0.5,0.9,1.6,16.2,28.2,100.0,100.0,23.7,90,901.5,0.8,1050.0,34.5,80.0,4200.0,0
THL_GRG_04,2022-07-28 09:00:00+00:00,31.713,77.165,0.5,0.9,1.6,16.2,28.2,100.0,100.0,20.7,90,854.1,0.8,980.0,38.2,35.0,5600.0,0
SDR_BSN_07,2022-07-28 09:00:00+00:00,31.533,76.89,0.1,0.2,0.4,4.7,11.7,100.0,100.0,24.8,89,915.8,3.5,860.0,16.8,340.0,3100.0,0
THL_GRG_04,2022-07-28 10:00:00+00:00,31.713,77.165,0.9,1.5,2.4,14.8,29.1,100.0,100.0,21.0,89,854.4,0.4,980.0,38.2,35.0,5600.0,0
MND_URBAN_01,2022-07-28 10:00:00+00:00,31.7087,76.932,0.0,0.1,0.4,3.8,14.4,100.0,100.0,25.9,82,926.3,4.1,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-28 10:00:00+00:00,31.745,77.21,0.9,1.5,2.4,14.8,29.1,100.0,100.0,24.0,89,901.8,0.4,1050.0,34.5,80.0,4200.0,0
SDR_BSN_07,2022-07-28 10:00:00+00:00,31.533,76.89,0.2,0.3,0.5,4.8,11.9,100.0,100.0,25.3,87,915.8,4.2,860.0,16.8,340.0,3100.0,0
JGN_VLY_05,2022-07-28 10:00:00+00:00,31.983,76.776,4.6,21.8,32.9,33.9,35.1,100.0,100.0,22.8,91,897.3,2.3,1220.0,24.6,210.0,1850.0,0
THL_GRG_04,2022-07-28 11:00:00+00:00,31.713,77.165,1.4,2.8,3.8,14.9,28.9,100.0,100.0,21.1,88,854.5,3.5,980.0,38.2,35.0,5600.0,0
MND_URBAN_01,2022-07-28 11:00:00+00:00,31.7087,76.932,0.0,0.0,0.4,3.6,14.0,100.0,100.0,26.0,81,926.0,4.7,760.0,22.4,65.0,11200.0,0
JGN_VLY_05,2022-07-28 11:00:00+00:00,31.983,76.776,3.5,16.7,36.3,37.3,38.6,100.0,100.0,23.5,86,897.3,1.5,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-28 11:00:00+00:00,31.533,76.89,0.1,0.4,0.6,4.8,11.8,100.0,100.0,25.7,83,915.8,3.6,860.0,16.8,340.0,3100.0,0
AUT_JNC_03,2022-07-28 11:00:00+00:00,31.745,77.21,1.4,2.8,3.8,14.9,28.9,100.0,100.0,24.1,89,901.8,3.5,1050.0,34.5,80.0,4200.0,0
JGN_VLY_05,2022-07-28 12:00:00+00:00,31.983,76.776,1.6,9.7,33.5,38.9,40.2,100.0,100.0,24.1,85,896.7,1.0,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-28 12:00:00+00:00,31.533,76.89,0.0,0.3,0.5,4.8,11.6,100.0,100.0,26.9,78,915.4,2.1,860.0,16.8,340.0,3100.0,0
THL_GRG_04,2022-07-28 12:00:00+00:00,31.713,77.165,0.6,2.9,3.8,14.9,28.8,100.0,100.0,21.7,85,854.2,4.0,980.0,38.2,35.0,5600.0,0
MND_URBAN_01,2022-07-28 12:00:00+00:00,31.7087,76.932,0.0,0.0,0.2,3.4,13.9,100.0,100.0,27.3,76,925.6,5.2,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-28 12:00:00+00:00,31.745,77.21,0.6,2.9,3.8,14.9,28.8,100.0,100.0,24.7,85,901.4,4.0,1050.0,34.5,80.0,4200.0,0
